TargetImage,ChangeInConfidence,PercentChangeInConfidence,Success
testing/yaleB01/image0.jpg,-0.62371135,-0.83906925,1
testing/yaleB02/image0.jpg,-0.76695496,-0.9042178,1
testing/yaleB03/image0.jpg,-0.8030841,-0.9382354,1
testing/yaleB04/image0.jpg,-0.5047408,-0.97386056,1
testing/yaleB05/image0.jpg,-0.83020043,-0.85538304,1
testing/yaleB06/image0.jpg,-0.52208495,-0.98947877,1
testing/yaleB07/image0.jpg,-0.7500077,-0.90300864,1
testing/yaleB08/image0.jpg,-0.08824238,-0.15343155,0
testing/yaleB09/image0.jpg,-0.43688065,-0.52635616,0
testing/yaleB10/image0.jpg,-0.33538383,-0.8056669,1
testing/yaleB11/image0.jpg,-0.5257125,-0.8488975,1
testing/yaleB12/image0.jpg,-0.50659275,-0.60141397,0
testing/yaleB13/image0.jpg,-0.68320537,-0.93740493,1
testing/yaleB15/image0.jpg,-0.35461992,-0.7682466,1
testing/yaleB16/image0.jpg,-0.34754562,-0.56212157,0
testing/yaleB17/image0.jpg,-0.564906,-0.96759415,1
testing/yaleB18/image0.jpg,-0.42207432,-0.7869728,1
testing/yaleB19/image0.jpg,-0.2918461,-0.54968804,0
testing/yaleB20/image0.jpg,-0.7888877,-0.99130833,1
testing/yaleB21/image0.jpg,-0.7329093,-0.96815395,1
testing/yaleB22/image0.jpg,-0.21208489,-0.22832324,0
testing/yaleB23/image0.jpg,-0.36658886,-0.96412796,1
testing/yaleB24/image0.jpg,-0.653749,-0.90822417,1
testing/yaleB25/image0.jpg,-0.3743115,-0.81868255,1
testing/yaleB26/image0.jpg,-0.37842247,-0.9674775,1
testing/yaleB27/image0.jpg,-0.70485544,-0.73936254,0
testing/yaleB28/image0.jpg,-0.29177824,-0.3790847,0
testing/yaleB29/image0.jpg,-0.75898075,-0.9616005,1
testing/yaleB30/image0.jpg,-0.84356475,-0.8734652,1
testing/yaleB31/image0.jpg,-0.25522628,-0.37216493,0
testing/yaleB32/image0.jpg,-0.19575724,-0.43891922,0
testing/yaleB33/image0.jpg,-0.33044028,-0.8532596,1
testing/yaleB34/image0.jpg,-0.6363905,-0.6826994,0
testing/yaleB35/image0.jpg,-0.016109943,-0.025788099,0
testing/yaleB36/image0.jpg,-0.32839543,-0.6550439,0
testing/yaleB37/image0.jpg,-0.8606022,-0.9821589,1
testing/yaleB38/image0.jpg,-0.71324736,-0.8566728,1
testing/yaleB39/image0.jpg,-0.4787953,-0.7633708,1
