TargetImage,ChangeInConfidencePhase1,PercentChangeInConfidencePhase1,SuccessPhase1,ChangeInConfidencePhase2,PercentChangeInConfidencePhase2,SuccessPhase2
testing/yaleB01/image0.jpg,-0.6060109,-0.81525713,1,-0.6537581,-0.8794907,1
testing/yaleB02/image0.jpg,-0.7162187,-0.8444012,0,-0.7342996,-0.86571807,1
testing/yaleB03/image0.jpg,-0.7044187,-0.82296556,0,-0.7427344,-0.8677294,0
testing/yaleB04/image0.jpg,-0.4974939,-0.9598782,1,-0.50353134,-0.97152704,1
testing/yaleB05/image0.jpg,-0.5867568,-0.604555,0,-0.69791996,-0.7190901,0
testing/yaleB06/image0.jpg,-0.4783257,-0.90654427,1,-0.4958995,-0.9398509,1
testing/yaleB07/image0.jpg,-0.7227576,-0.87019956,1,-0.74799657,-0.90058726,1
testing/yaleB08/image0.jpg,-0.2421808,-0.42109215,0,-0.30742913,-0.5345428,0
testing/yaleB09/image0.jpg,-0.33003277,-0.39762524,0,-0.3907825,-0.47081685,0
testing/yaleB10/image0.jpg,-0.32129163,-0.77181435,1,-0.3426129,-0.8230328,1
testing/yaleB11/image0.jpg,-0.41394585,-0.6684217,0,-0.4313216,-0.69647926,1
testing/yaleB12/image0.jpg,-0.35528812,-0.421789,0,-0.43506905,-0.51650286,0
testing/yaleB13/image0.jpg,-0.6591079,-0.9043416,1,-0.6852383,-0.94019425,1
testing/yaleB15/image0.jpg,-0.1730122,-0.37481263,0,-0.25434905,-0.5510203,1
testing/yaleB16/image0.jpg,-0.47534153,-0.76881915,1,-0.5040704,-0.8152854,1
testing/yaleB17/image0.jpg,-0.5606573,-0.96031684,1,-0.568807,-0.97427595,1
testing/yaleB18/image0.jpg,-0.36950922,-0.6889633,1,-0.40744767,-0.7597009,0
testing/yaleB19/image0.jpg,-0.2458092,-0.46297818,0,-0.29787594,-0.56104517,0
testing/yaleB20/image0.jpg,-0.78069335,-0.9810114,1,-0.78450185,-0.9857971,1
testing/yaleB21/image0.jpg,-0.7448349,-0.98390734,1,-0.74743533,-0.9873425,1
testing/yaleB22/image0.jpg,0.0,0.0,0,-0.164249,-0.17682478,0
testing/yaleB23/image0.jpg,-0.34118712,-0.8973214,1,-0.3454182,-0.90844923,1
testing/yaleB24/image0.jpg,-0.45181805,-0.62769055,0,-0.53637093,-0.74515605,1
testing/yaleB25/image0.jpg,-0.33208936,-0.7263356,1,-0.36039984,-0.7882554,1
testing/yaleB26/image0.jpg,-0.36732683,-0.9391103,1,-0.37584955,-0.96089953,1
testing/yaleB27/image0.jpg,-0.4429084,-0.46459153,0,-0.52098787,-0.5464935,0
testing/yaleB28/image0.jpg,0.0,0.0,0,-0.16177726,-0.21018457,0
testing/yaleB29/image0.jpg,-0.73859775,-0.935776,1,-0.74839187,-0.9481848,1
testing/yaleB30/image0.jpg,-0.44920433,-0.4651265,0,-0.5341099,-0.5530416,0
testing/yaleB31/image0.jpg,-0.40214998,-0.5864056,0,-0.46077985,-0.6718983,0
testing/yaleB32/image0.jpg,-0.078229874,-0.17540395,0,-0.15671656,-0.35138372,0
testing/yaleB33/image0.jpg,-0.27012444,-0.6975126,1,-0.2883824,-0.74465823,1
testing/yaleB34/image0.jpg,-0.1995483,-0.21406904,0,-0.33587766,-0.3603188,0
testing/yaleB35/image0.jpg,-0.14559463,-0.23306155,0,-0.23252779,-0.3722204,0
testing/yaleB36/image0.jpg,-0.328652,-0.65555567,1,-0.37419236,-0.7463941,1
testing/yaleB37/image0.jpg,-0.80394936,-0.9175041,1,-0.8331284,-0.95080453,1
testing/yaleB38/image0.jpg,-0.6385048,-0.7669004,0,-0.7008779,-0.841816,1
testing/yaleB39/image0.jpg,-0.41141167,-0.65593725,0,-0.46524417,-0.7417655,1
